id_x,price,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,distance_to_center,neighbourhood_cleansed_Dn Laoghaire-Rathdown,neighbourhood_cleansed_Dublin City,neighbourhood_cleansed_Fingal,neighbourhood_cleansed_South Dublin,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,compound_scores,season_Spring,season_Summer,season_Autumn
45617612,79.0,3,79.0,48.0,0,3.0,1,1,53.36164,-6.27533,2,2.5,1.0,2.0,3,10,0,0,0,0,0,19,5,6,72,5688.0,4.84,4.79,4.58,4.95,5.0,4.79,4.74,0,0.34,1.6546526657412395,0,1,0,0,1,0,0,0,0.5662368421052631,0.15789473684210525,0.2631578947368421,0.47368421052631576
45632923,250.0,4,100.0,100.0,1,4.0,1,1,53.37766,-6.19635,5,1.0,3.0,5.0,2,7,0,9,13,84,16,74,0,14,42,10500.0,4.72,4.8,4.72,4.93,4.93,4.73,4.51,1,1.54,5.266698457515557,0,1,0,0,0,0,1,0,0.5980351351351352,0.16216216216216217,0.5540540540540541,0.20270270270270271
45683271,193.0,4,98.0,90.0,0,44.0,1,1,53.33462953263973,-6.256739678131553,2,1.0,0.0,1.0,3,30,17,44,68,76,76,37,2,10,60,11580.0,4.14,4.22,4.51,4.11,4.41,4.65,4.24,1,0.65,1.7049342212951726,0,1,0,0,1,0,0,0,0.5686351351351352,0.21621621621621623,0.2972972972972973,0.2702702702702703
45746039,126.0,1,25.0,0.0,0,2.0,1,1,53.33798,-6.24071,1,1.5,1.0,1.0,20,90,29,59,89,89,89,1,0,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0.03,1.8527939661376756,0,1,0,0,0,0,1,0,0.9466,0.0,1.0,0.0
45855202,84.0,4,98.0,96.0,0,26.0,1,1,53.3238,-6.2742,2,1.0,1.0,1.0,14,1125,16,26,40,130,130,44,1,11,255,21420.0,4.77,4.86,4.57,4.91,4.93,4.95,4.68,0,0.79,3.038142506117865,0,1,0,0,1,0,0,0,0.6283886363636364,0.2727272727272727,0.29545454545454547,0.29545454545454547
45874136,157.0,4,98.0,90.0,0,44.0,1,1,53.34002445027443,-6.264473991736172,3,1.0,1.0,3.0,2,28,29,50,64,79,79,99,0,40,60,9420.0,3.69,3.64,4.1,4.1,4.35,4.57,3.49,1,1.84,1.1229024911076224,0,1,0,0,1,0,0,0,0.41579795918367346,0.32653061224489793,0.2755102040816326,0.21428571428571427
45874332,253.0,4,98.0,90.0,0,44.0,1,1,53.333256361475534,-6.254819049483994,4,1.0,1.0,3.0,2,28,7,14,32,115,110,7,0,2,0,0.0,4.0,3.71,4.14,3.67,4.43,4.86,4.14,1,0.23,1.877029253341856,0,1,0,0,1,0,0,0,0.4497142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285
45878489,283.0,3,100.0,99.0,1,4.0,1,1,53.33418,-6.25198,4,2.5,2.0,2.0,2,1125,9,29,40,280,124,86,3,52,255,72165.0,4.8,4.79,4.87,4.88,4.84,4.92,4.59,0,3.98,1.8245814882965525,0,1,0,0,1,0,0,0,0.8209337209302326,0.32558139534883723,0.1744186046511628,0.36046511627906974
45889975,30.0,3,100.0,100.0,1,1.0,1,1,53.27771,-6.34852,1,1.5,1.0,1.0,28,1125,0,0,0,137,69,19,0,6,255,7650.0,4.53,4.42,4.63,4.84,4.58,4.37,4.47,0,0.35,9.94694034844112,0,0,0,1,0,0,1,0,0.6525473684210527,0.21052631578947367,0.3157894736842105,0.10526315789473684
45933639,98.0,4,100.0,100.0,1,2.0,1,1,53.30803,-6.20507,2,1.0,1.0,1.0,1,120,8,31,45,45,45,133,9,40,255,24990.0,4.94,4.97,4.98,4.98,4.97,4.8,4.83,1,2.37,5.928812943920517,1,0,0,0,0,0,1,0,0.7509984962406016,0.3233082706766917,0.38345864661654133,0.10526315789473684
